"Customweb_Subscription::%s %s cycle","%s %s cyclus"
"Customweb_Subscription::Define the amount of time relative to the due date after which the invoice has to be paid. This is the period for customers to pay orders that use a payment method that does not support creation of token or in the case of invoice payments. It is also the period for the merchant in case of deferred capturing to capture the payment. Otherwise the payments will fail.","Definieer eerst waarbinnen een mislukte of niet automatisch verlengd betaling door de klant moet worden betaald. Indien gedurende deze tijd om enige betaling, annulering we het abonnement."
"Customweb_Subscription::Define the order of the plans in the dropdown.","Geef de volgorde van de plannen voor de drop-down."
"Customweb_Subscription::Define the sort order of the cart plans in the dropdown.","Definieer de sorteervolgorde van de kar plannen in de dropdown."
"Customweb_Subscription::Delete","Verwijderen"
"Customweb_Subscription::Describe the schedule and subscription. The value of this field is used for configurable product options.","Beschrijf de planning en het abonnement. Deze beschrijving wordt dan gebruikt voor configureerbare product opties."
"Customweb_Subscription::Describe the subscription and schedule. The value of this field is used for configurable product options.","Beschrijf het abonnement en het schema. De waarde van dit veld wordt gebruikt voor configureerbare productopties."
"Customweb_Subscription::Describe the subscription cart plan. This value is used on the cart page in the subscription cart plan dropdown and to describe the subscription.","Beschrijf het abonnement winkelwagen plan. Deze waarde wordt gebruikt op de kar pagina in het abonnement winkelwagen plannen dropdown en om het abonnement te beschrijven."
"Customweb_Subscription::Describe the subscription plan. This value is used on the cart page in the subscription plan dropdown and to describe the subscription.","Beschrijf het abonnement. Deze beschrijving wordt gebruikt op de kar pagina in het abonnement dropdown."
"Customweb_Subscription::Description","Beschrijving"
"Customweb_Subscription::Diners Club","Diners Club"
"Customweb_Subscription::Direct Debits","Direct Debits"
"Customweb_Subscription::Direct E-Banking","Direct E-Banking"
"Customweb_Subscription::Directly after order (sale)","Directly after order (sale)"
"Customweb_Subscription::Discount Amount","Korting bedrag"
"Customweb_Subscription::Do you really want to cancel this subscription?","Wil je echt wilt dit abonnement annuleren?"
"Customweb_Subscription::Do you really want to suspend this subscription?","Wil je echt wilt dit abonnement te schorten?"
"Customweb_Subscription::Don't change order status","Don't change order status"
"Customweb_Subscription::Edit","Uitgeven"
"Customweb_Subscription::Email Sender","Email Sender"
"Customweb_Subscription::Email Settings","E-mailinstellingen"
"Customweb_Subscription::Email Template","Email template"
"Customweb_Subscription::Enable Agreement","De overeenkomst mogelijk te maken"
"Customweb_Subscription::Enable Cart Subscriptions","Enable Abonnementen van winkelwagen"
"Customweb_Subscription::Enable Subscription","Enable Subscription"
"Customweb_Subscription::Enable Test Mode","Test Mode inschakelen"
"Customweb_Subscription::Enable the payment method","Enable the payment method"
"Customweb_Subscription::Enabled","Enabled"
"Customweb_Subscription::Enter a Starting Date (Format: yyyy-mm-dd) to simulate the recurring orders. If the test cron is activated the recurring orders will be simulated starting from the day entered above.","Voer een aanvangsdatum (Formaat: yyyy-mm-dd) de terugkerende bestellingen te simuleren. Als de test cron wordt geactiveerd de terugkerende bestellingen worden gesimuleerd vanaf de dag boven ingevoerd."
"Customweb_Subscription::Enter the date on which your card expires.","Voer de vervaldatum van de kaart"
"Customweb_Subscription::Enter the number of days this payment attempt should take place before the actual due date of the subscription.","Voer het aantal dagen vóór de vervaldatum van dit abonnement. De betaling heeft poging zal plaatsvinden op gespecificeerde dag."
"Customweb_Subscription::Enter when this reminder email should be sent before the actual due date of the subscription. This has to be a number.","Voer bij deze herinnering e-mail voordat de werkelijke vervaldag van het abonnement dient te worden gezonden. Dit moet een getal zijn."
"Customweb_Subscription::Equals initial order","Evenaart eerste bestelling"
"Customweb_Subscription::Error with the length of the validation date.","Error with the length of the validation date."
"Customweb_Subscription::Excl. Tax","Excl. belasting"
"Customweb_Subscription::Expired","Verlopen"
"Customweb_Subscription::External Checkout","External Checkout"
"Customweb_Subscription::Failed","Mislukt"
"Customweb_Subscription::Failed to delete the subscriptions.","Nagelaten om de abonnementen te verwijderen."
"Customweb_Subscription::Failed to update the subscription.","Mislukt om het abonnement te updaten."
"Customweb_Subscription::Failed to update the subscriptions.","Niet in geslaagd de abonnementen bij te werken."
"Customweb_Subscription::Failure Email Template","Mislukking Email Template"
"Customweb_Subscription::Figure !number:","Figure !number:"
"Customweb_Subscription::Fixed Shipping","Vaste Verzendkosten"
"Customweb_Subscription::G.T. (Base)","Algemeen totaal (base)"
"Customweb_Subscription::G.T. (Purchased)","Algemeen totaal (gekocht)"
"Customweb_Subscription::General Settings","General Settings"
"Customweb_Subscription::Guest Order Email Template","Gast Bestel E-mail Template"
"Customweb_Subscription::Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id})."
"Customweb_Subscription::Hour","uur"
"Customweb_Subscription::IBAN","IBAN"
"Customweb_Subscription::IBAN number","IBAN-nummer"
"Customweb_Subscription::ID","ID"
"Customweb_Subscription::If enabled, the customer has to agree to the subscription in the checkout review. In order for this to work, you have to enable Terms and Conditions in the Checkout config tab.","Indien ingeschakeld, de klant moet instemmen met het abonnement in de kassa beoordeling. Om dit te laten werken, moet je voorwaarden stellen in het tabblad afrekenen config."
"Customweb_Subscription::If it is not applicable leave the field empty.","Als het niet van toepassing laat het veld leeg."
"Customweb_Subscription::If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully.","Als de status 'Pending' het is onduidelijk of de transactie met succes zal worden geannuleerd."
"Customweb_Subscription::If the status is 'Pending' it is unclear whether the transaction will be captured successfully.","Als de status 'Pending' het is onduidelijk of de transactie met succes zal worden vastgelegd."
"Customweb_Subscription::If the status is 'Pending' it is unclear whether the transaction will be refunded successfully.","Als de status 'Pending' het is onduidelijk of de transactie met succes zal worden terugbetaald."
"Customweb_Subscription::If the test mode is selected the test account is used. Otherwise the configured account is used.","If the test mode is selected the test account is used. Otherwise the configured account is used."
"Customweb_Subscription::If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information.","If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information."
"Customweb_Subscription::Image Brand Selection","Image Brand Selection"
"Customweb_Subscription::In Stock","Op voorraad"
"Customweb_Subscription::In case you selected a fixed shipping type, enter the shipping costs above.","In het geval dat 'vaste verzendkosten' geselecteerd u, ogaan gelieve het bedrag hierboven."
"Customweb_Subscription::Inactive","Inactive"
"Customweb_Subscription::Incl. Tax","Incl. belasting"
"Customweb_Subscription::Information","Information"
"Customweb_Subscription::Initial Discount","Initiële korting"
"Customweb_Subscription::Initial Fee","Initiële kosten"
"Customweb_Subscription::Initial Fee/Discount","Initiële Fee/Korting"
"Customweb_Subscription::Initial Subscription Discount","Initiële inschrijving korting"
"Customweb_Subscription::Initial Subscription Fee","Initiële Abonnementskosten"
"Customweb_Subscription::Invalid parent block for this block.","Ongeldige parent block voor dit block."
"Customweb_Subscription::Invoice Settlement","Afwikkeling van de factuur"
"Customweb_Subscription::Invoice settlement","Invoice settlement"
"Customweb_Subscription::Is the customer allowed to suspend the subscription?","Is het de klant toegestaan om het abonnement op te schorten?"
"Customweb_Subscription::Issue Number","Albumreeks"
"Customweb_Subscription::Item","Item"
"Customweb_Subscription::JCB","JCB"
"Customweb_Subscription::Last Billed","Laatste gefactureerde"
"Customweb_Subscription::Live HMAC Key","Live HMAC Key"
"Customweb_Subscription::Live Identifier (PBX_IDENTIFIANT)","Live Identifier (PBX_IDENTIFIANT)"
"Customweb_Subscription::Live Mode","Live Mode"
"Customweb_Subscription::Live Password","Live Password"
"Customweb_Subscription::Live Rang (PBX_RANG)","Live Rang (PBX_RANG)"
"Customweb_Subscription::Live Site ID (PBX_SITE)","Live Site ID (PBX_SITE)"
"Customweb_Subscription::MasterCard","MasterCard"
"Customweb_Subscription::Maximum Billing Cycles","Maximum van factureringscycli"
"Customweb_Subscription::Maximum Order Total","Maximum Order Total"
"Customweb_Subscription::Minimum Order Total","Minimum Order Total"
"Customweb_Subscription::Minute","minuut"
"Customweb_Subscription::Month","Maand"
"Customweb_Subscription::My Subscriptions","Mijn abonnementen"
"Customweb_Subscription::Name","Naam"
"Customweb_Subscription::Name in %s","Naam in %s"
"Customweb_Subscription::Never","Nooit"
"Customweb_Subscription::New Order Status","New Order Status"
"Customweb_Subscription::Next Cycle","Volgende Cyclus"
"Customweb_Subscription::Next Due Date","Volgende vervaldag"
"Customweb_Subscription::Next Update Execution Date","Next Update Execution Date"
"Customweb_Subscription::No","Geen"
"Customweb_Subscription::No Invoice Settlement","Geen facturatie"
"Customweb_Subscription::No authorization method found for payment method !method.","Geen vergunning methode gevonden voor de betalingswijze"
"Customweb_Subscription::No information available.","Geen informatie beschikbaar."
"Customweb_Subscription::No reminders are configured.","Geen herinneringen worden geconfigureerd."
"Customweb_Subscription::No, use the dropdown.","No, use the dropdown."
"Customweb_Subscription::None","Niets"
"Customweb_Subscription::Not all products are available in the requested quantity.","Niet alle producten zijn beschikbaar in de gevraagde hoeveelheid."
"Customweb_Subscription::Not initialized","Niet geïnitialiseerd"
"Customweb_Subscription::Notify Low Stock RSS","Lage voorraad RSS kennisgeving"
"Customweb_Subscription::Number of billing periods that make up one billing cycle.","Aantal factuurperiodes die deel uitmaken van een facturatie cyclus."
"Customweb_Subscription::One or more errors occured when processing scheduled jobs.","Een of meer fouten opgetreden bij het verwerken van geplande taken."
"Customweb_Subscription::Only an authorized transaction can be marked as finally declined.","Only an authorized transaction can be marked as finally declined."
"Customweb_Subscription::Only an uncertain transaction can be marked as finally declined.","Only an uncertain transaction can be marked as finally declined."
"Customweb_Subscription::Only authorized transaction can be cancelled.","Alleen geautoriseerde transacties kan worden geannuleerd."
"Customweb_Subscription::Only authorized transaction can be captured.","Alleen geautoriseerde transacties kunnen worden geregistreerd"
"Customweb_Subscription::Only authorized transaction can be refunded.","Alleen geautoriseerde transacties kunnen worden bijgeschreven."
"Customweb_Subscription::Only captured transaction can be refunded.","Alleen opgenomen transacties kunnen worden bijgeschreven."
"Customweb_Subscription::Only on captured transaction the flag customer refusing to pay can be set.","Only on captured transaction the flag customer refusing to pay can be set."
"Customweb_Subscription::Operation Mode","Operation Mode"
"Customweb_Subscription::Order","Bestelling"
"Customweb_Subscription::Order Email Template","Bestel Email Template"
"Customweb_Subscription::Order Prefix","Order Prefix"
"Customweb_Subscription::Order Status","Status van bestelling"
"Customweb_Subscription::Order Total","Bestel Total"
"Customweb_Subscription::Orders Based on This Subscription","Orders Based on This Subscription"
"Customweb_Subscription::Paid","Betaald"
"Customweb_Subscription::Pay","Betalen"
"Customweb_Subscription::Payment Attempts","Betaling pogingen"
"Customweb_Subscription::Payment ID","Betaling ID"
"Customweb_Subscription::Payment Method","Betalingsmethode"
"Customweb_Subscription::Payment Methods","Payment Methods"
"Customweb_Subscription::Payment Term","betalingstermijn"
"Customweb_Subscription::Payment from applicable countries","Payment from applicable countries"
"Customweb_Subscription::Payment from specific countries","Payment from specific countries"
"Customweb_Subscription::Payments","Betalingen"
"Customweb_Subscription::Payments Made","Betalingen opgelopen"
"Customweb_Subscription::Pending","Pending"
"Customweb_Subscription::Pending Email Template","E-Mail sjabloon 'in afwachting'"
"Customweb_Subscription::Period Of Notice","Opzegtermijn"
"Customweb_Subscription::Period of Notice","Opzegtermijn"
"Customweb_Subscription::Please check the entered CVC number.","Controleer de ingevoerde CVC nummer."
"Customweb_Subscription::Please check the entered credit card number.","Controleer de ingevoerde creditcardnummer."
"Customweb_Subscription::Please define at least one payment attempt.","Stel dan ten minste een betaling poging."
"Customweb_Subscription::Please enter here the Bank Identifier Code (BIC).","Vul hier de Bank Identifier Code (BIC)."
"Customweb_Subscription::Please enter here the CVC code from your card. You find the code on the back of the card.","Voer hier het CVC uw kaart in te voeren. U kunt dit vinden op de achterkant van uw creditcard."
"Customweb_Subscription::Please enter here the International Bank Account Number (IBAN).","Voer hier het International Bank Account Number (IBAN)."
"Customweb_Subscription::Please enter here the account holder name on the card.","Vul hier de naam rekeninghouder op de kaart."
"Customweb_Subscription::Please enter here the account holder name.","Vul hier de naam van de rekeninghouder."
"Customweb_Subscription::Please enter here the account number of your bank account.","Vul het rekeningnummer van uw bankrekening in te voeren"
"Customweb_Subscription::Please enter here the bank code of your bank.","Vul hier de bankcode van uw bank in te voeren"
"Customweb_Subscription::Please enter here the card holder name on the card.","Geef de kaarthouder een"
"Customweb_Subscription::Please enter here the commercial number of your company.","Vul hier het commerciële nummer van uw bedrijf."
"Customweb_Subscription::Please enter here the name of the account owner.","Vul de naam van de rekeninghouder in te voeren"
"Customweb_Subscription::Please enter here the number on your card.","Vul het kaartnummer van uw creditcard in te voeren"
"Customweb_Subscription::Please enter here the sales tax number of your company.","Vul hier de omzetbelasting nummer van uw bedrijf."
"Customweb_Subscription::Please enter here your social security number.","Vul hier uw sofi-nummer."
"Customweb_Subscription::Please enter the location of your bank.","Vul de locatie van uw bank."
"Customweb_Subscription::Please enter the name of your bank.","Vul de naam van uw bank."
"Customweb_Subscription::Please enter your IBAN number.","Gelieve uw IBAN-nummer."
"Customweb_Subscription::Please enter your issue number, if there is no CVC code on your card.","Vul uw probleem nummer als er geen CVC code op uw kaart."
"Customweb_Subscription::Please select","Selecteer aub"
"Customweb_Subscription::Please select the Bank Identifier Code (BIC) of your bank.","Selecteer de Bank Identifier Code (BIC) van uw bank."
"Customweb_Subscription::Please select the day of your birth.","Kies de dag van je geboorte."
"Customweb_Subscription::Please select the expiry month on your card.","Selecteer de mot van vervaldatum op uw kaart."
"Customweb_Subscription::Please select the expiry year on your card.","Vul datum van de kaart de vervaldatum in te voeren"
"Customweb_Subscription::Please select the month of your birth.","Kies de maand van je geboorte."
"Customweb_Subscription::Please select the the year of your birth.","Selecteer het het jaar van uw geboorte."
"Customweb_Subscription::Price","Prijs"
"Customweb_Subscription::Product","Product"
"Customweb_Subscription::Product Filter","Product Filter"
"Customweb_Subscription::Product Name","Productnaam"
"Customweb_Subscription::Purchased From (Store)","Gekocht van (winkel)"
"Customweb_Subscription::Purchased Item","Gekochte item"
"Customweb_Subscription::Purchased Items","Gekochte items"
"Customweb_Subscription::Purchased On","Gekocht op"
"Customweb_Subscription::Qty","Kwantiteit"
"Customweb_Subscription::Recurring Guest Order Email Template","Recurring Guest Order Email Template"
"Customweb_Subscription::Recurring Order Email Template","Recurring Order Email Template"
"Customweb_Subscription::Reference Id","Referentie ID"
"Customweb_Subscription::Refund Amount","Refund Amount"
"Customweb_Subscription::Refund ID","Refund ID"
"Customweb_Subscription::Refund amount","Terug te betalen bedrag"
"Customweb_Subscription::Refund status","Status van de restitutie"
"Customweb_Subscription::Refunded Amount","Bedrag gecrediteerd"
"Customweb_Subscription::Related Orders","Gerelateerde opdrachten"
"Customweb_Subscription::Release Date","Release Date"
"Customweb_Subscription::Reminder Emails","e-mail herinnering"
"Customweb_Subscription::Repeats %s time(s) after cancelation request.","Herhaalt %s keer na de annulering verzoek."
"Customweb_Subscription::Repeats %s time(s).","Herhaalt %s keer."
"Customweb_Subscription::Repeats until canceled.","Herhaald totdat geannuleerd."
"Customweb_Subscription::Rounding Adjustment","Rounding Adjustment"
"Customweb_Subscription::Row Total","Totaal van de lijn"
"Customweb_Subscription::Run Test Cron","Voer de test Cron"
"Customweb_Subscription::SEPA Mandate ID","SEPA Mandate ID"
"Customweb_Subscription::SKU","SKU"
"Customweb_Subscription::Sales","Sales"
"Customweb_Subscription::Sales Tax Number","Sales Tax nummer"
"Customweb_Subscription::Save","Save"
"Customweb_Subscription::Saved cards:","Opgeslagen creditcards:"
"Customweb_Subscription::Schedule","Plan"
"Customweb_Subscription::Schedule Information","Plan informatie"
"Customweb_Subscription::Select Brand","Kies een Merk"
"Customweb_Subscription::Select a subscription plan:","Selecteer een abonnement plan:"
"Customweb_Subscription::Select the authorization method to use for processing this payment method.","Selecteer de Autorisatie Methode voor deze betaalmethode."
"Customweb_Subscription::Select the date of your birth.","Kies de datum van uw geboorte."
"Customweb_Subscription::Select the date on which your card expires.","Selecteer de datum waarop uw kaart verloopt."
"Customweb_Subscription::Select the payment methods that are allowed to be used for subscriptions.","Selecteer de betaalmethoden die mogen worden gebruikt voor abonnementen."
"Customweb_Subscription::Select the products that cannot be used in subscriptions.","Selecteer de producten die niet kunnen worden gebruikt voor abonnementen."
"Customweb_Subscription::Select the unit for the number in the previous field.","Selecteer de eenheid voor de waarde in het vorige veld."
"Customweb_Subscription::Select which email template should be sent as reminder. You can edit the templates yourself under System > Transactional Emails.","Selecteer welke e-sjabloon als herinnering dienen te worden gezonden. U kunt de sjablonen zelf bewerken onder System > Transactional Emails."
"Customweb_Subscription::Send Invoice Email","Factuur verzenden E-mail"
"Customweb_Subscription::Set the checkbox text of the subscription agreement box in the checkout review.","Stel de checkbox tekst van de doos abonnement overeenkomst in de kassa beoordeling."
"Customweb_Subscription::Set the sort order to show the external checkouts.","Set the sort order to show the external checkouts."
"Customweb_Subscription::Set the text of the subscription agreement box in the checkout review.","Stel de tekst van de doos abonnement overeenkomst in de kassa beoordeling."
"Customweb_Subscription::Set the title of the subscription agreement box in the checkout review.","Zet de titel van het vak abonnement overeenkomst in de kassa beoordeling."
"Customweb_Subscription::Set to no, if the subscription should keep running even when a payment is pending.","Set to no, if the subscription should keep running even when a payment is pending."
"Customweb_Subscription::Set to yes, if price of a recurring payment should be recalculated - the products' current price is used and price rules are applied.","Set to yes, if price of a recurring payment should be recalculated - the products' current price is used and price rules are applied."
"Customweb_Subscription::Set to yes, if the invoice email should be sent automatically after settlement.","Indien de factuur e-mail automatisch na verrekening dient te worden gezonden ingesteld op yes,."
"Customweb_Subscription::Settlement after Order","Schikking na de bestelling"
"Customweb_Subscription::Settlement after order","Settlement after order"
"Customweb_Subscription::Ship to Name","Verzenden naar naam"
"Customweb_Subscription::Shipping","Scheepvaart"
"Customweb_Subscription::Shipping Address","Afleveradres"
"Customweb_Subscription::Shipping Amount","Verzendkosten"
"Customweb_Subscription::Shipping Amount Type","Soort verzendkosten"
"Customweb_Subscription::Simulate Cron","Cron Simuleren"
"Customweb_Subscription::Sku","Sku"
"Customweb_Subscription::Social Security Number","Social Security Number"
"Customweb_Subscription::Sort Order","Orde"
"Customweb_Subscription::Start Date","Startdatum"
"Customweb_Subscription::Started At","Begon op"
